aland10,ameri_es,asian,awater10,black,city,county,countyfp10,funcstat10,geoid10,geoid10_1,globalid,hawn_pi,hispanic,hse_units,intptlat10,intptlon10,mtfcc10,multi_race,name10,namelsad10,non_hispan,objectid,occup,other,pst_cd,shape_star,shape_stle,state,statefp10,sumlev,total_pop,tract,tractce10,vacant,white,nbhdname,objectid_2
1725516.0000000000000000000000000000000,11.0000000000000000000000000000000,13.0000000000000000000000000000000,0.0000000000000000000000000000000,3302.0000000000000000000000000000000,,"029","029",S,"36029016800","36029016800",{7876AE7B-DAB8-450A-9A73-95959262A127},1.0000000000000000000000000000000,165.0000000000000000000000000000000,2245.0000000000000000000000000000000,"+42.9115131","-078.8596538",G5020,62.0000000000000000000000000000000,"168",Census Tract 168,3553.0000000000000000000000000000000,52.0000000000000000000000000000000,1667.0000000000000000000000000000000,49.0000000000000000000000000000000,,0.0001902136243857388618432036065,0.0583783065010838736474951815580,"36","36","140",3718.0000000000000000000000000000000,"016800","016800",578.0000000000000000000000000000000,280.0000000000000000000000000000000,Masten Park,21.0000000000000000000000000000000
1168149.0000000000000000000000000000000,9.0000000000000000000000000000000,8.0000000000000000000000000000000,0.0000000000000000000000000000000,2271.0000000000000000000000000000000,,"029","029",S,"36029016600","36029016600",{912C2C30-EB52-4A8C-AF30-0449D8AE1D08},0.0000000000000000000000000000000,60.0000000000000000000000000000000,1493.0000000000000000000000000000000,"+42.8961941","-078.8457739",G5020,29.0000000000000000000000000000000,"166",Census Tract 166,2391.0000000000000000000000000000000,51.0000000000000000000000000000000,1081.0000000000000000000000000000000,16.0000000000000000000000000000000,,0.0001287405676676435680155091701,0.0516005935975491283884686311012,"36","36","140",2451.0000000000000000000000000000000,"016600","016600",412.0000000000000000000000000000000,118.0000000000000000000000000000000,Broadway Fillmore,23.0000000000000000000000000000000
2008068.0000000000000000000000000000000,98.0000000000000000000000000000000,350.0000000000000000000000000000000,380015.0000000000000000000000000000000,1260.0000000000000000000000000000000,,"029","029",S,"36029017100","36029017100",{CC94ACE5-1B8A-4107-B188-A726BC8876F5},13.0000000000000000000000000000000,1202.0000000000000000000000000000000,1951.0000000000000000000000000000000,"+42.9287208","-078.8941253",G5020,231.0000000000000000000000000000000,"171",Census Tract 171,3375.0000000000000000000000000000000,55.0000000000000000000000000000000,1533.0000000000000000000000000000000,553.0000000000000000000000000000000,,0.0002214211105488268944985197351,0.1093972809580242705473906994484,"36","36","140",4577.0000000000000000000000000000000,"017100","017100",418.0000000000000000000000000000000,2072.0000000000000000000000000000000,Upper West Side,6.0000000000000000000000000000000
1676556.0000000000000000000000000000000,30.0000000000000000000000000000000,35.0000000000000000000000000000000,0.0000000000000000000000000000000,687.0000000000000000000000000000000,,"029","029",S,"36029002400","36029002400",{88C264E1-4B43-43D2-9632-3C158392123D},3.0000000000000000000000000000000,266.0000000000000000000000000000000,2446.0000000000000000000000000000000,"+42.8936153","-078.8112525",G5020,112.0000000000000000000000000000000,"24",Census Tract 24,3991.0000000000000000000000000000000,46.0000000000000000000000000000000,1881.0000000000000000000000000000000,47.0000000000000000000000000000000,,0.0001847635008247842654076353863,0.0738395899812213513113690055434,"36","36","140",4257.0000000000000000000000000000000,"002400","002400",565.0000000000000000000000000000000,3343.0000000000000000000000000000000,Lovejoy,32.0000000000000000000000000000000
2312977.0000000000000000000000000000000,9.0000000000000000000000000000000,37.0000000000000000000000000000000,5623.0000000000000000000000000000000,336.0000000000000000000000000000000,,"029","029",S,"36029005300","36029005300",{A2519B16-05F2-40E2-897E-EDFF0B6E2AE6},2.0000000000000000000000000000000,44.0000000000000000000000000000000,540.0000000000000000000000000000000,"+42.9293726","-078.8597263",G5020,26.0000000000000000000000000000000,"53",Census Tract 53,1414.0000000000000000000000000000000,1.0000000000000000000000000000000,454.0000000000000000000000000000000,11.0000000000000000000000000000000,,0.0002556740165677779709485495374,0.0674448311010914097751722806606,"36","36","140",1458.0000000000000000000000000000000,"005300","005300",86.0000000000000000000000000000000,1037.0000000000000000000000000000000,Parkside,13.0000000000000000000000000000000
1068827.0000000000000000000000000000000,9.0000000000000000000000000000000,27.0000000000000000000000000000000,0.0000000000000000000000000000000,45.0000000000000000000000000000000,,"029","029",S,"36029000700","36029000700",{6212EF95-51C1-4B69-816C-BF4D22DE5FCB},0.0000000000000000000000000000000,114.0000000000000000000000000000000,1680.0000000000000000000000000000000,"+42.8371467","-078.8072178",G5020,38.0000000000000000000000000000000,"7",Census Tract 7,3652.0000000000000000000000000000000,26.0000000000000000000000000000000,1579.0000000000000000000000000000000,36.0000000000000000000000000000000,,0.0001176832489569999717383963489,0.0483043848326377076030091473058,"36","36","140",3766.0000000000000000000000000000000,"000700","000700",101.0000000000000000000000000000000,3611.0000000000000000000000000000000,South Park,35.0000000000000000000000000000000
2548998.0000000000000000000000000000000,28.0000000000000000000000000000000,33.0000000000000000000000000000000,21975.0000000000000000000000000000000,1443.0000000000000000000000000000000,,"029","029",S,"36029016400","36029016400",{DF17DE95-576E-4381-8827-173BAD127473},0.0000000000000000000000000000000,627.0000000000000000000000000000000,1807.0000000000000000000000000000000,"+42.8750501","-078.8597329",G5020,101.0000000000000000000000000000000,"164",Census Tract 164,2408.0000000000000000000000000000000,41.0000000000000000000000000000000,1387.0000000000000000000000000000000,195.0000000000000000000000000000000,,0.0002832463268276185896360486183,0.0837417917749981449704321789795,"36","36","140",3035.0000000000000000000000000000000,"016400","016400",420.0000000000000000000000000000000,1235.0000000000000000000000000000000,Ellicott,30.0000000000000000000000000000000
4209552.0000000000000000000000000000000,12.0000000000000000000000000000000,3.0000000000000000000000000000000,2017407.0000000000000000000000000000000,92.0000000000000000000000000000000,,"029","029",S,"36029000500","36029000500",{E6AF269F-1371-45D4-97B0-101A32F8A16C},0.0000000000000000000000000000000,312.0000000000000000000000000000000,1072.0000000000000000000000000000000,"+42.8667471","-078.8711089",G5020,53.0000000000000000000000000000000,"5",Census Tract 5,1649.0000000000000000000000000000000,24.0000000000000000000000000000000,880.0000000000000000000000000000000,126.0000000000000000000000000000000,,0.0005492161931067297657438341929,0.1688267742898394985218146757688,"36","36","140",1961.0000000000000000000000000000000,"000500","000500",192.0000000000000000000000000000000,1675.0000000000000000000000000000000,Central,1.0000000000000000000000000000000
578728.0000000000000000000000000000000,5.0000000000000000000000000000000,27.0000000000000000000000000000000,0.0000000000000000000000000000000,1517.0000000000000000000000000000000,,"029","029",S,"36029005202","36029005202",{612608C7-5D4C-4BD0-8211-ECE0204B5280},1.0000000000000000000000000000000,99.0000000000000000000000000000000,1081.0000000000000000000000000000000,"+42.9246273","-078.8488046",G5020,71.0000000000000000000000000000000,"52.02",Census Tract 52.02,2818.0000000000000000000000000000000,79.0000000000000000000000000000000,923.0000000000000000000000000000000,26.0000000000000000000000000000000,,0.0000638097191841117305144068239,0.0369662634383138011262559530223,"36","36","140",2917.0000000000000000000000000000000,"005202","005202",158.0000000000000000000000000000000,1270.0000000000000000000000000000000,Hamlin Park,20.0000000000000000000000000000000
1963677.0000000000000000000000000000000,13.0000000000000000000000000000000,129.0000000000000000000000000000000,0.0000000000000000000000000000000,1378.0000000000000000000000000000000,,"029","029",S,"36029001600","36029001600",{5C1767CD-1BA4-4002-856A-CD9F5BDE5518},4.0000000000000000000000000000000,86.0000000000000000000000000000000,1704.0000000000000000000000000000000,"+42.8890431","-078.8308174",G5020,75.0000000000000000000000000000000,"16",Census Tract 16,2197.0000000000000000000000000000000,32.0000000000000000000000000000000,1118.0000000000000000000000000000000,39.0000000000000000000000000000000,,0.0002163896387700395664357988501,0.0781333865461591031698063147815,"36","36","140",2283.0000000000000000000000000000000,"001600","001600",586.0000000000000000000000000000000,645.0000000000000000000000000000000,Broadway Fillmore,23.0000000000000000000000000000000
