aland10,ameri_es,asian,awater10,black,blkgrp,blkgrpce10,city,county,countyfp10,funcstat10,geoid10,geoid10_1,globalid,hawn_pi,hispanic,hse_units,intptlat10,intptlon10,mtfcc10,multi_race,namelsad10,non_hispan,objectid,occup,other,pst_cd,shape_star,shape_stle,state,statefp10,sumlev,total_pop,tract,tractce10,tractname1,vacant,white,nbhdname,objectid_2,councildis,dist_id
157530.0000000000000000000000000000000,1.0000000000000000000000000000000,169.0000000000000000000000000000000,0.0000000000000000000000000000000,151.0000000000000000000000000000000,"2","2",,"029","029",S,"360290046012","360290046012",{FA2FACDD-FEBF-4237-95D6-C571A9AB561C},0.0000000000000000000000000000000,45.0000000000000000000000000000000,354.0000000000000000000000000000000,"+42.9546361","-078.8316686",G5030,34.0000000000000000000000000000000,Block Group 2,765.0000000000000000000000000000000,176.0000000000000000000000000000000,323.0000000000000000000000000000000,24.0000000000000000000000000000000,,0.0000173773581563262992117496752,0.0199826835432279220627904692265,"36","36","150",810.0000000000000000000000000000000,"004601","004601","46.01",31.0000000000000000000000000000000,431.0000000000000000000000000000000,University Heights,15.0000000000000000000000000000000,UNIVERSITY,7.0000000000000000000000000000000
147038.0000000000000000000000000000000,4.0000000000000000000000000000000,2.0000000000000000000000000000000,0.0000000000000000000000000000000,628.0000000000000000000000000000000,"1","1",,"029","029",S,"360290033011","360290033011",{91A69046-7765-49C1-ADF0-9F5CE725787C},0.0000000000000000000000000000000,9.0000000000000000000000000000000,364.0000000000000000000000000000000,"+42.9206924","-078.8510892",G5030,13.0000000000000000000000000000000,Block Group 1,816.0000000000000000000000000000000,174.0000000000000000000000000000000,303.0000000000000000000000000000000,0.0000000000000000000000000000000,,0.0000162113103245383214983874054,0.0172043098878139795460118222081,"36","36","150",825.0000000000000000000000000000000,"003301","003301","33.01",61.0000000000000000000000000000000,178.0000000000000000000000000000000,Hamlin Park,20.0000000000000000000000000000000,MASTEN,8.0000000000000000000000000000000
1786786.0000000000000000000000000000000,7.0000000000000000000000000000000,6.0000000000000000000000000000000,5623.0000000000000000000000000000000,214.0000000000000000000000000000000,"2","2",,"029","029",S,"360290053002","360290053002",{F37F4D29-F5F5-4A6B-B631-A4AD0F66D702},2.0000000000000000000000000000000,23.0000000000000000000000000000000,228.0000000000000000000000000000000,"+42.9293726","-078.8597263",G5030,13.0000000000000000000000000000000,Block Group 2,832.0000000000000000000000000000000,20.0000000000000000000000000000000,184.0000000000000000000000000000000,5.0000000000000000000000000000000,,0.0001976462924120712255637855037,0.0657437328094246098419972668125,"36","36","150",855.0000000000000000000000000000000,"005300","005300","53",44.0000000000000000000000000000000,608.0000000000000000000000000000000,Parkside,13.0000000000000000000000000000000,DELAWARE,5.0000000000000000000000000000000
443374.0000000000000000000000000000000,3.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,836.0000000000000000000000000000000,"4","4",,"029","029",S,"360290166004","360290166004",{EF133F7D-3579-43D2-99C3-9AB917E74ADB},0.0000000000000000000000000000000,19.0000000000000000000000000000000,464.0000000000000000000000000000000,"+42.8941167","-078.8503954",G5030,16.0000000000000000000000000000000,Block Group 4,869.0000000000000000000000000000000,108.0000000000000000000000000000000,369.0000000000000000000000000000000,3.0000000000000000000000000000000,,0.0000488621938961389661471718115,0.0287127775683600761080782604040,"36","36","150",888.0000000000000000000000000000000,"016600","016600","166",95.0000000000000000000000000000000,30.0000000000000000000000000000000,Broadway Fillmore,23.0000000000000000000000000000000,ELLICOTT,1.0000000000000000000000000000000
743039.0000000000000000000000000000000,21.0000000000000000000000000000000,58.0000000000000000000000000000000,0.0000000000000000000000000000000,227.0000000000000000000000000000000,"5","5",,"029","029",S,"360290171005","360290171005",{BCF9B2E8-1855-4F74-A7A2-34207851A916},2.0000000000000000000000000000000,170.0000000000000000000000000000000,382.0000000000000000000000000000000,"+42.9305364","-078.8865517",G5030,54.0000000000000000000000000000000,Block Group 5,789.0000000000000000000000000000000,103.0000000000000000000000000000000,275.0000000000000000000000000000000,64.0000000000000000000000000000000,,0.0000819343910248422038940241396,0.0531967155642836322937405668654,"36","36","150",959.0000000000000000000000000000000,"017100","017100","171",107.0000000000000000000000000000000,533.0000000000000000000000000000000,Upper West Side,6.0000000000000000000000000000000,NORTH,2.0000000000000000000000000000000
313353.0000000000000000000000000000000,7.0000000000000000000000000000000,16.0000000000000000000000000000000,0.0000000000000000000000000000000,145.0000000000000000000000000000000,"3","3",,"029","029",S,"360290045003","360290045003",{1935B504-6FF7-479C-A962-6928B1DCA23E},0.0000000000000000000000000000000,52.0000000000000000000000000000000,539.0000000000000000000000000000000,"+42.9521897","-078.8398426",G5030,18.0000000000000000000000000000000,Block Group 3,1148.0000000000000000000000000000000,278.0000000000000000000000000000000,509.0000000000000000000000000000000,28.0000000000000000000000000000000,,0.0000345652567107337845833323065,0.0247491098203090446883134490008,"36","36","150",1200.0000000000000000000000000000000,"004500","004500","45",30.0000000000000000000000000000000,986.0000000000000000000000000000000,Central Park,14.0000000000000000000000000000000,UNIVERSITY,7.0000000000000000000000000000000
865423.0000000000000000000000000000000,4.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,81.0000000000000000000000000000000,"1","1",,"029","029",S,"360290163001","360290163001",{3A952660-FCEF-48A9-9CA4-6797FFCBD2AE},0.0000000000000000000000000000000,80.0000000000000000000000000000000,452.0000000000000000000000000000000,"+42.8739761","-078.8381900",G5030,26.0000000000000000000000000000000,Block Group 1,719.0000000000000000000000000000000,95.0000000000000000000000000000000,341.0000000000000000000000000000000,23.0000000000000000000000000000000,,0.0000953434613447250753175132854,0.0409535950289771494281509944813,"36","36","150",799.0000000000000000000000000000000,"016300","016300","163",111.0000000000000000000000000000000,665.0000000000000000000000000000000,Seneca Babcock,32.0000000000000000000000000000000,FILLMORE,3.0000000000000000000000000000000
321510.0000000000000000000000000000000,5.0000000000000000000000000000000,1.0000000000000000000000000000000,0.0000000000000000000000000000000,337.0000000000000000000000000000000,"1","1",,"029","029",S,"360290028001","360290028001",{479C88D3-7BD2-4D5A-B816-9E90670E0238},1.0000000000000000000000000000000,29.0000000000000000000000000000000,250.0000000000000000000000000000000,"+42.9010474","-078.8252893",G5030,21.0000000000000000000000000000000,Block Group 1,505.0000000000000000000000000000000,163.0000000000000000000000000000000,171.0000000000000000000000000000000,16.0000000000000000000000000000000,,0.0000354359373057731733090008897,0.0276909158987950800023813968664,"36","36","150",534.0000000000000000000000000000000,"002800","002800","28",79.0000000000000000000000000000000,153.0000000000000000000000000000000,Genesee-Moselle,23.0000000000000000000000000000000,FILLMORE,3.0000000000000000000000000000000
326993.0000000000000000000000000000000,5.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,1149.0000000000000000000000000000000,"2","2",,"029","029",S,"360290037002","360290037002",{8FE42C22-B852-43ED-BB2F-DC097185BF66},0.0000000000000000000000000000000,42.0000000000000000000000000000000,559.0000000000000000000000000000000,"+42.9126733","-078.8066837",G5030,23.0000000000000000000000000000000,Block Group 2,1305.0000000000000000000000000000000,218.0000000000000000000000000000000,464.0000000000000000000000000000000,5.0000000000000000000000000000000,,0.0000360469124645875578418635632,0.0246470805829929542896117311557,"36","36","150",1347.0000000000000000000000000000000,"003700","003700","37",95.0000000000000000000000000000000,165.0000000000000000000000000000000,Schiller Park,24.0000000000000000000000000000000,LOVEJOY,6.0000000000000000000000000000000
500522.0000000000000000000000000000000,4.0000000000000000000000000000000,83.0000000000000000000000000000000,0.0000000000000000000000000000000,1030.0000000000000000000000000000000,"4","4",,"029","029",S,"360290047004","360290047004",{0CF21652-C1C9-4E1B-A4C3-942A42431BB4},5.0000000000000000000000000000000,70.0000000000000000000000000000000,720.0000000000000000000000000000000,"+42.9445006","-078.8252849",G5030,70.0000000000000000000000000000000,Block Group 4,1437.0000000000000000000000000000000,270.0000000000000000000000000000000,634.0000000000000000000000000000000,24.0000000000000000000000000000000,,0.0000552045714536925481805834659,0.0297577165557194739387014692511,"36","36","150",1507.0000000000000000000000000000000,"004700","004700","47",86.0000000000000000000000000000000,291.0000000000000000000000000000000,University Heights,15.0000000000000000000000000000000,UNIVERSITY,7.0000000000000000000000000000000
114079.0000000000000000000000000000000,1.0000000000000000000000000000000,12.0000000000000000000000000000000,0.0000000000000000000000000000000,258.0000000000000000000000000000000,"3","3",,"029","029",S,"360290028003","360290028003",{963773BC-B862-40E1-A33F-72F8AA0BD8C2},0.0000000000000000000000000000000,14.0000000000000000000000000000000,286.0000000000000000000000000000000,"+42.8983737","-078.8162924",G5030,13.0000000000000000000000000000000,Block Group 3,412.0000000000000000000000000000000,162.0000000000000000000000000000000,183.0000000000000000000000000000000,8.0000000000000000000000000000000,,0.0000125729074683855456006677243,0.0160514790945631390106651537053,"36","36","150",426.0000000000000000000000000000000,"002800","002800","28",103.0000000000000000000000000000000,134.0000000000000000000000000000000,Genesee-Moselle,23.0000000000000000000000000000000,FILLMORE,3.0000000000000000000000000000000
203705.0000000000000000000000000000000,15.0000000000000000000000000000000,14.0000000000000000000000000000000,0.0000000000000000000000000000000,219.0000000000000000000000000000000,"3","3",,"029","029",S,"360290051003","360290051003",{9D657B98-DDB5-4736-84DF-BC12B480D9D4},4.0000000000000000000000000000000,101.0000000000000000000000000000000,589.0000000000000000000000000000000,"+42.9575978","-078.8637098",G5030,36.0000000000000000000000000000000,Block Group 3,950.0000000000000000000000000000000,189.0000000000000000000000000000000,551.0000000000000000000000000000000,30.0000000000000000000000000000000,,0.0000224082491340320819669246211,0.0266692075403478154327352456221,"36","36","150",1051.0000000000000000000000000000000,"005100","005100","51",38.0000000000000000000000000000000,733.0000000000000000000000000000000,North Park,12.0000000000000000000000000000000,DELAWARE,5.0000000000000000000000000000000
154317.0000000000000000000000000000000,3.0000000000000000000000000000000,443.0000000000000000000000000000000,0.0000000000000000000000000000000,125.0000000000000000000000000000000,"4","4",,"029","029",S,"360290046014","360290046014",{D09059EC-F52E-46F9-88AB-EA0477C35E1D},0.0000000000000000000000000000000,18.0000000000000000000000000000000,415.0000000000000000000000000000000,"+42.9527586","-078.8281185",G5030,37.0000000000000000000000000000000,Block Group 4,1062.0000000000000000000000000000000,276.0000000000000000000000000000000,382.0000000000000000000000000000000,5.0000000000000000000000000000000,,0.0000170225034778811521569107101,0.0218166982196575133523541722980,"36","36","150",1080.0000000000000000000000000000000,"004601","004601","46.01",33.0000000000000000000000000000000,467.0000000000000000000000000000000,University Heights,15.0000000000000000000000000000000,UNIVERSITY,7.0000000000000000000000000000000
141927.0000000000000000000000000000000,1.0000000000000000000000000000000,1.0000000000000000000000000000000,0.0000000000000000000000000000000,623.0000000000000000000000000000000,"5","5",,"029","029",S,"360290037005","360290037005",{45E564B7-3299-4399-8DB9-B0B6D6CECD65},0.0000000000000000000000000000000,22.0000000000000000000000000000000,311.0000000000000000000000000000000,"+42.9206608","-078.8106449",G5030,19.0000000000000000000000000000000,Block Group 5,697.0000000000000000000000000000000,222.0000000000000000000000000000000,261.0000000000000000000000000000000,1.0000000000000000000000000000000,,0.0000156477346049428288517202379,0.0158346548127003168560111845409,"36","36","150",719.0000000000000000000000000000000,"003700","003700","37",50.0000000000000000000000000000000,74.0000000000000000000000000000000,Schiller Park,24.0000000000000000000000000000000,LOVEJOY,6.0000000000000000000000000000000
173533.0000000000000000000000000000000,29.0000000000000000000000000000000,88.0000000000000000000000000000000,0.0000000000000000000000000000000,166.0000000000000000000000000000000,"1","1",,"029","029",S,"360290058021","360290058021",{011F29A7-F3AB-413A-AF37-3ABDBFE0EBB8},0.0000000000000000000000000000000,288.0000000000000000000000000000000,490.0000000000000000000000000000000,"+42.9531545","-078.9034129",G5030,77.0000000000000000000000000000000,Block Group 1,938.0000000000000000000000000000000,194.0000000000000000000000000000000,423.0000000000000000000000000000000,136.0000000000000000000000000000000,,0.0000191423244262271352415794023,0.0189860249001944300650812635922,"36","36","150",1226.0000000000000000000000000000000,"005802","005802","58.02",67.0000000000000000000000000000000,730.0000000000000000000000000000000,Riverside,10.0000000000000000000000000000000,NORTH,2.0000000000000000000000000000000
181276.0000000000000000000000000000000,12.0000000000000000000000000000000,6.0000000000000000000000000000000,0.0000000000000000000000000000000,37.0000000000000000000000000000000,"3","3",,"029","029",S,"360290009003","360290009003",{CEF13E26-F79D-4187-98C1-EAD680373349},0.0000000000000000000000000000000,52.0000000000000000000000000000000,461.0000000000000000000000000000000,"+42.8510993","-078.8130711",G5030,21.0000000000000000000000000000000,Block Group 3,867.0000000000000000000000000000000,138.0000000000000000000000000000000,424.0000000000000000000000000000000,11.0000000000000000000000000000000,,0.0000199638730355117003322472369,0.0184662484621752227831326109708,"36","36","150",919.0000000000000000000000000000000,"000900","000900","9",37.0000000000000000000000000000000,832.0000000000000000000000000000000,South Park,35.0000000000000000000000000000000,SOUTH,4.0000000000000000000000000000000
322907.0000000000000000000000000000000,2.0000000000000000000000000000000,14.0000000000000000000000000000000,0.0000000000000000000000000000000,353.0000000000000000000000000000000,"1","1",,"029","029",S,"360290016001","360290016001",{9CF750AD-FCC9-4D27-AB88-6395389D1159},0.0000000000000000000000000000000,32.0000000000000000000000000000000,421.0000000000000000000000000000000,"+42.8887618","-078.8415757",G5030,18.0000000000000000000000000000000,Block Group 1,463.0000000000000000000000000000000,206.0000000000000000000000000000000,273.0000000000000000000000000000000,13.0000000000000000000000000000000,,0.0000355827585019869536628323026,0.0245942582792324018758911563509,"36","36","150",495.0000000000000000000000000000000,"001600","001600","16",148.0000000000000000000000000000000,95.0000000000000000000000000000000,Broadway Fillmore,23.0000000000000000000000000000000,FILLMORE,3.0000000000000000000000000000000
644288.0000000000000000000000000000000,10.0000000000000000000000000000000,13.0000000000000000000000000000000,0.0000000000000000000000000000000,559.0000000000000000000000000000000,"4","4",,"029","029",S,"360290164004","360290164004",{AC8CB5A2-EF98-443D-A84B-79B73EED957E},0.0000000000000000000000000000000,229.0000000000000000000000000000000,299.0000000000000000000000000000000,"+42.8778304","-078.8628231",G5030,26.0000000000000000000000000000000,Block Group 4,594.0000000000000000000000000000000,97.0000000000000000000000000000000,286.0000000000000000000000000000000,70.0000000000000000000000000000000,,0.0000709855994247047769087066715,0.0406177036518165501810528894566,"36","36","150",823.0000000000000000000000000000000,"016400","016400","164",13.0000000000000000000000000000000,145.0000000000000000000000000000000,Ellicott,30.0000000000000000000000000000000,ELLICOTT,1.0000000000000000000000000000000
197513.0000000000000000000000000000000,8.0000000000000000000000000000000,8.0000000000000000000000000000000,0.0000000000000000000000000000000,53.0000000000000000000000000000000,"2","2",,"029","029",S,"360290002002","360290002002",{EB883F2A-0416-4782-A28E-C4FC3CC76AAA},0.0000000000000000000000000000000,143.0000000000000000000000000000000,417.0000000000000000000000000000000,"+42.8511700","-078.8271938",G5030,30.0000000000000000000000000000000,Block Group 2,799.0000000000000000000000000000000,124.0000000000000000000000000000000,369.0000000000000000000000000000000,35.0000000000000000000000000000000,,0.0000217521479038904064218229450,0.0264977927815559059776528982866,"36","36","150",942.0000000000000000000000000000000,"000200","000200","2",48.0000000000000000000000000000000,808.0000000000000000000000000000000,Hopkins-Tifft,33.0000000000000000000000000000000,SOUTH,4.0000000000000000000000000000000
230819.0000000000000000000000000000000,2.0000000000000000000000000000000,35.0000000000000000000000000000000,0.0000000000000000000000000000000,97.0000000000000000000000000000000,"1","1",,"029","029",S,"360290046011","360290046011",{C9428BBF-12EE-4B5A-9D33-C5F3CE0E5EFB},0.0000000000000000000000000000000,48.0000000000000000000000000000000,305.0000000000000000000000000000000,"+42.9569088","-078.8327843",G5030,17.0000000000000000000000000000000,Block Group 1,589.0000000000000000000000000000000,280.0000000000000000000000000000000,281.0000000000000000000000000000000,9.0000000000000000000000000000000,,0.0000254092064190108448372418248,0.0295171526603004892586046281622,"36","36","150",637.0000000000000000000000000000000,"004601","004601","46.01",24.0000000000000000000000000000000,477.0000000000000000000000000000000,University Heights,15.0000000000000000000000000000000,UNIVERSITY,7.0000000000000000000000000000000
190399.0000000000000000000000000000000,23.0000000000000000000000000000000,55.0000000000000000000000000000000,0.0000000000000000000000000000000,213.0000000000000000000000000000000,"2","2",,"029","029",S,"360290055002","360290055002",{32640697-E068-441E-B8CB-EAE123515D35},0.0000000000000000000000000000000,201.0000000000000000000000000000000,596.0000000000000000000000000000000,"+42.9397808","-078.8888421",G5030,50.0000000000000000000000000000000,Block Group 2,880.0000000000000000000000000000000,23.0000000000000000000000000000000,488.0000000000000000000000000000000,95.0000000000000000000000000000000,,0.0000209982152388754131897875832,0.0220823357360696581608294764010,"36","36","150",1081.0000000000000000000000000000000,"005500","005500","55",108.0000000000000000000000000000000,645.0000000000000000000000000000000,Grant-Amherst,9.0000000000000000000000000000000,NORTH,2.0000000000000000000000000000000
283303.0000000000000000000000000000000,6.0000000000000000000000000000000,99.0000000000000000000000000000000,243652.0000000000000000000000000000000,223.0000000000000000000000000000000,"1","1",,"029","029",S,"360290070001","360290070001",{6F951DDB-CC53-4EC5-A7F7-52765F8F0E48},11.0000000000000000000000000000000,566.0000000000000000000000000000000,521.0000000000000000000000000000000,"+42.9097491","-078.9010536",G5030,52.0000000000000000000000000000000,Block Group 1,540.0000000000000000000000000000000,79.0000000000000000000000000000000,392.0000000000000000000000000000000,268.0000000000000000000000000000000,,0.0000314758076704316263000685283,0.0268484150609834965051092581234,"36","36","150",1106.0000000000000000000000000000000,"007000","007000","70",129.0000000000000000000000000000000,447.0000000000000000000000000000000,West Side,4.0000000000000000000000000000000,NIAGARA,9.0000000000000000000000000000000
268005.0000000000000000000000000000000,3.0000000000000000000000000000000,106.0000000000000000000000000000000,0.0000000000000000000000000000000,618.0000000000000000000000000000000,"1","1",,"029","029",S,"360290047001","360290047001",{65DD03D5-F648-4205-A3DA-4F923B09E65D},0.0000000000000000000000000000000,61.0000000000000000000000000000000,501.0000000000000000000000000000000,"+42.9483248","-078.8186362",G5030,35.0000000000000000000000000000000,Block Group 1,1170.0000000000000000000000000000000,271.0000000000000000000000000000000,432.0000000000000000000000000000000,12.0000000000000000000000000000000,,0.0000295610587443041907375687605,0.0324042822659546744801239981371,"36","36","150",1231.0000000000000000000000000000000,"004700","004700","47",69.0000000000000000000000000000000,457.0000000000000000000000000000000,University Heights,15.0000000000000000000000000000000,UNIVERSITY,7.0000000000000000000000000000000
408058.0000000000000000000000000000000,5.0000000000000000000000000000000,23.0000000000000000000000000000000,0.0000000000000000000000000000000,345.0000000000000000000000000000000,"3","3",,"029","029",S,"360290052013","360290052013",{7DBBB246-8D95-4C35-8A8E-8722779C4572},1.0000000000000000000000000000000,39.0000000000000000000000000000000,296.0000000000000000000000000000000,"+42.9308581","-078.8459150",G5030,9.0000000000000000000000000000000,Block Group 3,662.0000000000000000000000000000000,16.0000000000000000000000000000000,249.0000000000000000000000000000000,12.0000000000000000000000000000000,,0.0000449964766033962354149777774,0.0304802874823250843916433439063,"36","36","150",701.0000000000000000000000000000000,"005201","005201","52.01",47.0000000000000000000000000000000,306.0000000000000000000000000000000,Fillmore-Leroy,13.0000000000000000000000000000000,MASTEN,8.0000000000000000000000000000000
